Epoch;Clock_bias
2010.001488095238;16835.915
2010.0029761904761;16834.568217315675
2010.0044642857142;16833.22147301674
2010.0059523809523;16831.874706902505
2010.0074404761904;16830.527915158273
2010.0089285714284;16829.181145825387
2010.0104166666665;16827.83436683655
2010.0119047619046;16826.487597265244
2010.0133928571427;16825.140826382638
2010.0148809523807;16823.794056453706
2010.0163690476188;16822.44727555752
2010.0178571428569;16821.100516476632
2010.019345238095;16819.753737487794
2010.020833333333;16818.406975903512
2010.022321428571;16817.06020406723
2010.0238095238092;16815.713449993134
2010.0252976190473;16814.366676130296
2010.0267857142853;16813.019913949967
2010.0282738095234;16811.673152484895
2010.0297619047615;16810.326397337914
2010.0312499999995;16808.979633250237
2010.0327380952376;16807.632880606652
2010.0342261904757;16806.286120333672
2010.0357142857138;16804.939358034135
2010.0372023809518;16803.59259358883
2010.03869047619;16802.24583856106
2010.040178571428;16800.899079241753
2010.041666666666;16799.55231145859
2010.0431547619041;16798.205546655656
2010.0446428571422;16796.85878423691
2010.0461309523803;16795.51201371193
2010.0476190476184;16794.16524330616
2010.0491071428564;16792.818478503228
2010.0505952380945;16791.471708574296
2010.0520833333326;16790.124938645364
2010.0535714285706;16788.77816871643
2010.0550595238087;16787.4313987875
2010.0565476190468;16786.084628858567
2010.0580357142849;16784.737858929635
2010.059523809523;16783.391089000703
2010.061011904761;16782.04431907177
2010.062499999999;16780.69754914284
2010.0639880952372;16779.350779213906
2010.0654761904752;16778.004009284974
2010.0669642857133;16776.657239356042
2010.0684523809514;16775.31046942711
2010.0699404761895;16773.963699498177
2010.0714285714275;16772.616929569245
2010.0729166666656;16771.270159640313
2010.0744047619037;16769.92338971138
2010.0758928571418;16768.57661978245
2010.0773809523798;16767.229849853516
2010.078869047618;16765.883079924584
2010.080357142856;16764.536309995652
2010.081845238094;16763.18954006672
2010.0833333333321;16761.842770137788
2010.0848214285702;16760.496000208856
2010.0863095238083;16759.149230279923
2010.0877976190463;16757.80246035099
2010.0892857142844;16756.45569042206
2010.0907738095225;16755.108920493127
2010.0922619047606;16753.762150564195
2010.0937499999986;16752.415380635262
2010.0952380952367;16751.06861070633
2010.0967261904748;16749.721840777398
2010.0982142857129;16748.375070848466
2010.099702380951;16747.028300919534
2010.101190476189;16745.6815309906
2010.102678571427;16744.33476106167
2010.1041666666652;16742.987991132737
2010.1056547619032;16741.641221203805
2010.1071428571413;16740.294451274873
2010.1086309523794;16738.94768134594
2010.1101190476174;16737.60091141701
2010.1116071428555;16736.254141488076
2010.1130952380936;16734.907371559144
2010.1145833333317;16733.56060163021
2010.1160714285697;16732.21383170128
2010.1175595238078;16730.867061772347
2010.119047619046;16729.520291843415
2010.120535714284;16728.173521914483
2010.122023809522;16726.82675198555
2010.12351190476;16725.47998205662
2010.1249999999982;16724.133212127686
2010.1264880952363;16722.786442198754
2010.1279761904743;16721.439672269822
2010.1294642857124;16720.09290234089
2010.1309523809505;16718.746132411958
2010.1324404761885;16717.399362483025
2010.1339285714266;16716.052592554093
2010.1354166666647;16714.70582262516
2010.1369047619028;16713.35905269623
2010.1383928571408;16712.012282767297
2010.139880952379;16710.665512838365
2010.141369047617;16709.318742909432
2010.142857142855;16707.9719729805
