Epoch;Clock_bias
2010.0;384779.964
2010.001488095238;384776.45999999996
2010.0029761904761;384772.953
2010.0044642857142;384769.443
2010.0059523809523;384765.929
2010.0074404761904;384762.414
2010.0089285714284;384758.899
2010.0104166666665;384755.382
2010.0119047619048;384751.867
2010.013392857143;384748.353
2010.014880952381;384744.844
2010.016369047619;384741.339
2010.017857142857;384737.84
2010.0193452380952;384734.34300000005
2010.0208333333333;384730.853
2010.0223214285713;384727.367
2010.0238095238096;384723.887
2010.0252976190477;384720.414
2010.0267857142858;384716.947
2010.0282738095239;384713.48699999996
2010.029761904762;384710.032
2010.03125;384706.58400000003
2010.032738095238;384703.14
2010.0342261904761;384699.701
2010.0357142857142;384696.26399999997
2010.0372023809523;384692.83
2010.0386904761904;384689.398
2010.0401785714284;384685.968
2010.0416666666667;384682.54000000004
2010.0431547619048;384679.11299999995
2010.044642857143;384675.686
2010.046130952381;384672.259
2010.047619047619;384668.829
2010.049107142857;384665.39999999997
2010.0505952380952;384661.965
2010.0520833333333;384658.527
2010.0535714285713;384655.08499999996
2010.0550595238094;384651.638
2010.0565476190475;384648.188
2010.0580357142856;384644.73299999995
2010.0595238095239;384641.272
2010.061011904762;384637.80700000003
2010.0625;384634.33300000004
2010.063988095238;384630.854
2010.0654761904761;384627.368
2010.0669642857142;384623.877
2010.0684523809523;384620.37700000004
2010.0699404761904;384616.876
2010.0714285714287;384613.36799999996
2010.0729166666667;384609.85799999995
2010.0744047619048;384606.344
2010.075892857143;384602.827
2010.077380952381;384599.30600000004
2010.078869047619;384595.783
2010.080357142857;384592.259
2010.0818452380952;384588.73699999996
2010.0833333333333;384585.213
2010.0848214285713;384581.69299999997
2010.0863095238094;384578.175
2010.0877976190475;384574.664
2010.0892857142858;384571.154
2010.0907738095239;384567.651
2010.092261904762;384564.153
2010.09375;384560.659
2010.095238095238;384557.171
2010.0967261904761;384553.69
2010.0982142857142;384550.21499999997
2010.0997023809523;384546.747
2010.1011904761904;384543.286
2010.1026785714284;384539.83
2010.1041666666665;384536.379
2010.1056547619046;384532.93200000003
2010.107142857143;384529.49
2010.108630952381;384526.048
2010.110119047619;384522.61
2010.111607142857;384519.17600000004
2010.1130952380952;384515.74199999997
2010.1145833333333;384512.311
2010.1160714285713;384508.881
2010.1175595238094;384505.452
2010.1190476190477;384502.02
2010.1205357142858;384498.587
2010.1220238095239;384495.153
2010.123511904762;384491.713
2010.125;384488.271
2010.126488095238;384484.826
2010.1279761904761;384481.37700000004
2010.1294642857142;384477.92299999995
2010.1309523809523;384474.46400000004
2010.1324404761904;384471.001
2010.1339285714284;384467.532
2010.1354166666665;384464.055
2010.1369047619048;384460.572
2010.138392857143;384457.08400000003
2010.139880952381;384453.591
2010.141369047619;384450.093
